tof_distance,yaw_angle
0,180.4
0,180.4
100,180.4
100,180.0
575,180.0
575,179.5
582,179.5
582,178.9
585,178.9
585,178.4
587,178.4
587,177.8
592,177.8
592,177.1
593,177.1
593,176.7
593,176.7
593,176.0
594,176.0
594,175.4
593,175.4
593,175.0
597,175.0
597,174.4
597,174.4
597,174.0
602,174.0
602,173.4
605,173.4
605,172.8
610,172.8
610,172.5
612,172.5
612,171.9
615,171.9
615,171.5
614,171.5
614,171.0
615,171.0
615,170.6
615,170.6
615,170.0
618,170.0
618,169.5
619,169.5
619,169.1
619,169.1
619,168.6
620,168.6
620,168.2
621,168.2
621,167.7
622,167.7
622,167.3
624,167.3
624,166.8
625,166.8
625,166.2
627,166.2
627,165.8
627,165.8
627,165.3
630,165.3
630,164.9
631,164.9
631,164.3
632,164.3
632,163.9
633,163.9
633,163.2
637,163.2
637,162.8
637,162.8
637,162.2
640,162.2
640,161.5
642,161.5
642,161.1
645,161.1
645,160.4
646,160.4
646,159.7
647,159.7
647,159.3
648,159.3
648,158.7
655,158.7
655,158.2
655,158.2
655,157.6
656,157.6
656,157.1
660,157.1
660,156.6
662,156.6
662,156.0
661,156.0
661,155.3
669,155.3
669,154.6
673,154.6
673,154.1
673,154.1
673,153.5
676,153.5
676,153.1
680,153.1
680,152.4
684,152.4
684,152.0
683,152.0
683,151.4
688,151.4
688,151.0
689,151.0
689,150.4
694,150.4
694,149.8
696,149.8
696,149.4
700,149.4
700,148.9
700,148.9
700,148.5
708,148.5
708,147.9
713,147.9
713,147.5
705,147.5
705,147.0
717,147.0
717,146.6
715,146.6
715,146.0
725,146.0
725,145.6
727,145.6
727,145.1
732,145.1
732,144.8
738,144.8
738,144.2
744,144.2
744,143.9
750,143.9
750,143.3
754,143.3
754,143.0
759,143.0
759,142.4
766,142.4
766,142.1
770,142.1
770,141.5
776,141.5
776,140.9
783,140.9
783,140.5
788,140.5
788,139.9
795,139.9
795,139.5
803,139.5
803,138.9
810,138.9
810,138.5
816,138.5
816,137.9
822,137.9
822,137.5
828,137.5
828,136.9
836,136.9
836,136.5
839,136.5
839,135.9
841,135.9
841,135.3
845,135.3
845,134.8
848,134.8
848,134.2
848,134.2
848,133.8
850,133.8
850,133.1
848,133.1
848,132.5
848,132.5
848,132.1
846,132.1
846,131.4
844,131.4
844,130.8
838,130.8
838,130.4
832,130.4
832,129.8
825,129.8
825,129.4
817,129.4
817,128.8
809,128.8
809,128.4
802,128.4
802,127.9
796,127.9
796,127.5
790,127.5
790,126.9
783,126.9
783,126.6
776,126.6
776,126.0
769,126.0
769,125.6
765,125.6
765,125.0
759,125.0
759,124.6
753,124.6
753,124.0
747,124.0
747,123.6
743,123.6
743,123.0
738,123.0
738,122.6
734,122.6
734,122.1
729,122.1
729,121.7
724,121.7
724,121.1
720,121.1
720,120.7
716,120.7
716,120.2
711,120.2
711,119.8
711,119.8
711,119.2
703,119.2
703,118.8
699,118.8
699,118.2
696,118.2
696,117.8
691,117.8
691,117.1
689,117.1
689,116.7
685,116.7
685,116.1
680,116.1
680,115.7
678,115.7
678,115.0
673,115.0
673,114.6
671,114.6
671,114.0
669,114.0
669,113.3
665,113.3
665,112.9
662,112.9
662,112.2
659,112.2
659,111.7
678,111.7
678,111.1
658,111.1
658,110.4
652,110.4
652,109.9
648,109.9
648,109.2
641,109.2
641,108.8
639,108.8
639,108.2
634,108.2
634,107.7
634,107.7
634,107.1
629,107.1
629,106.7
627,106.7
627,106.2
624,106.2
624,105.8
621,105.8
621,105.3
618,105.3
618,104.9
617,104.9
617,104.4
615,104.4
615,103.8
609,103.8
609,103.5
609,103.5
609,102.9
607,102.9
607,102.6
607,102.6
607,102.0
603,102.0
603,101.7
603,101.7
603,101.1
599,101.1
599,100.8
597,100.8
597,100.2
594,100.2
594,99.9
594,99.9
594,99.3
591,99.3
591,99.0
591,99.0
591,98.4
589,98.4
589,98.1
588,98.1
588,97.5
586,97.5
586,97.1
584,97.1
584,96.5
583,96.5
583,95.8
582,95.8
582,95.4
580,95.4
580,94.8
580,94.8
580,94.3
576,94.3
576,93.7
578,93.7
578,93.2
575,93.2
575,92.6
575,92.6
575,92.1
573,92.1
573,91.4
574,91.4
574,91.0
573,91.0
573,90.3
571,90.3
571,89.9
570,89.9
570,89.2
569,89.2
569,88.7
568,88.7
568,88.1
571,88.1
571,87.3
569,87.3
569,86.6
571,86.6
571,86.1
572,86.1
572,85.5
576,85.5
576,85.0
576,85.0
576,84.4
580,84.4
580,84.0
579,84.0
579,83.4
579,83.4
579,83.0
580,83.0
580,82.4
582,82.4
582,82.1
582,82.1
582,81.5
585,81.5
585,81.1
587,81.1
587,80.6
590,80.6
590,80.0
593,80.0
593,79.6
596,79.6
596,79.0
596,79.0
596,78.7
595,78.7
595,78.1
594,78.1
594,77.7
595,77.7
595,77.1
597,77.1
597,76.7
599,76.7
599,76.2
598,76.2
598,75.8
601,75.8
601,75.3
601,75.3
601,74.7
603,74.7
603,74.3
602,74.3
602,73.8
605,73.8
605,73.4
608,73.4
608,72.8
609,72.8
609,72.4
612,72.4
612,71.8
613,71.8
613,71.4
613,71.4
613,70.8
617,70.8
617,70.4
617,70.4
617,69.8
618,69.8
618,69.4
620,69.4
620,68.8
623,68.8
623,68.3
624,68.3
624,67.7
630,67.7
630,67.3
631,67.3
631,66.7
632,66.7
632,66.1
634,66.1
634,65.5
639,65.5
639,65.0
641,65.0
641,64.4
641,64.4
641,64.0
641,64.0
641,63.3
646,63.3
646,62.9
652,62.9
652,62.2
652,62.2
652,61.8
658,61.8
658,61.2
658,61.2
658,60.6
665,60.6
665,60.3
667,60.3
667,59.7
667,59.7
667,59.3
673,59.3
673,58.8
674,58.8
674,58.4
678,58.4
678,57.8
682,57.8
682,57.4
686,57.4
686,56.8
691,56.8
691,56.4
690,56.4
690,55.9
700,55.9
700,55.5
693,55.5
693,54.9
704,54.9
704,54.5
713,54.5
713,53.9
720,53.9
720,53.5
726,53.5
726,53.0
731,53.0
731,52.6
735,52.6
735,52.0
741,52.0
741,51.7
747,51.7
747,51.1
753,51.1
753,50.7
758,50.7
758,50.1
764,50.1
764,49.8
764,49.8
764,49.2
761,49.2
761,48.8
773,48.8
773,48.2
781,48.2
781,47.8
785,47.8
785,47.3
792,47.3
792,46.9
800,46.9
800,46.3
805,46.3
805,45.7
814,45.7
814,45.3
820,45.3
820,44.7
828,44.7
828,44.2
835,44.2
835,43.8
846,43.8
846,43.2
853,43.2
853,42.8
853,42.8
853,42.2
871,42.2
871,41.8
878,41.8
878,41.2
887,41.2
887,40.8
892,40.8
892,40.2
898,40.2
898,39.8
898,39.8
898,39.2
903,39.2
903,38.8
905,38.8
905,38.2
906,38.2
906,37.8
906,37.8
906,37.2
906,37.2
906,36.6
905,36.6
905,36.2
903,36.2
903,35.6
898,35.6
898,35.2
893,35.2
893,34.6
884,34.6
884,34.1
878,34.1
878,33.5
872,33.5
872,33.1
864,33.1
864,32.5
857,32.5
857,32.1
849,32.1
849,31.4
844,31.4
844,31.0
837,31.0
837,30.4
831,30.4
831,30.0
827,30.0
827,29.4
819,29.4
819,29.0
813,29.0
813,28.4
807,28.4
807,28.0
804,28.0
804,27.4
799,27.4
799,27.0
793,27.0
793,26.4
788,26.4
788,26.0
784,26.0
784,25.4
780,25.4
780,24.8
774,24.8
774,24.4
771,24.4
771,23.8
767,23.8
767,23.4
764,23.4
764,22.8
760,22.8
760,22.4
756,22.4
756,21.8
753,21.8
753,21.2
747,21.2
747,20.8
744,20.8
744,20.3
742,20.3
742,19.9
739,19.9
739,19.3
735,19.3
735,18.9
732,18.9
732,18.3
728,18.3
728,17.7
725,17.7
725,17.3
722,17.3
722,16.7
719,16.7
719,16.3
718,16.3
718,15.7
715,15.7
715,15.3
710,15.3
710,14.7
709,14.7
709,14.3
707,14.3
707,13.7
705,13.7
705,13.3
702,13.3
702,12.7
701,12.7
701,12.3
698,12.3
698,11.7
695,11.7
695,11.0
693,11.0
693,10.6
691,10.6
691,9.9
690,9.9
690,9.5
688,9.5
688,8.9
707,8.9
707,8.5
689,8.5
689,7.9
683,7.9
683,7.5
678,7.5
678,6.9
674,6.9
674,6.5
672,6.5
672,5.9
667,5.9
667,5.5
667,5.5
667,4.9
666,4.9
666,4.4
664,4.4
664,4.0
661,4.0
661,3.4
660,3.4
660,3.0
657,3.0
657,2.4
656,2.4
656,2.0
653,2.0
653,1.5
650,1.5
650,0.9
651,0.9
651,0.5
648,0.5
648,0.0
648,0.0
648,-0.3
646,-0.3
646,-0.8
646,-0.8
646,-1.2
643,-1.2
643,-1.8
645,-1.8
645,-2.1
643,-2.1
643,-2.7
648,-2.7
648,-3.3
644,-3.3
644,-3.7
644,-3.7
644,-4.2
640,-4.2
640,-4.6
640,-4.6
640,-5.2
640,-5.2
640,-5.6
637,-5.6
637,-6.1
637,-6.1
637,-6.5
637,-6.5
637,-7.1
637,-7.1
637,-7.7
638,-7.7
638,-8.2
639,-8.2
639,-8.8
637,-8.8
637,-9.4
637,-9.4
637,-9.8
638,-9.8
638,-10.5
639,-10.5
639,-10.9
640,-10.9
640,-11.6
642,-11.6
642,-12.3
641,-12.3
641,-12.7
643,-12.7
643,-13.2
644,-13.2
644,-13.9
646,-13.9
646,-14.5
647,-14.5
647,-14.9
647,-14.9
647,-15.6
650,-15.6
650,-16.0
651,-16.0
651,-16.6
655,-16.6
655,-17.0
652,-17.0
652,-17.7
654,-17.7
654,-18.1
655,-18.1
655,-18.7
658,-18.7
658,-19.3
657,-19.3
657,-19.7
661,-19.7
661,-20.3
661,-20.3
661,-20.7
664,-20.7
664,-21.3
666,-21.3
666,-21.9
668,-21.9
668,-22.5
673,-22.5
673,-22.8
675,-22.8
675,-23.4
677,-23.4
677,-23.7
676,-23.7
676,-24.3
680,-24.3
680,-24.7
681,-24.7
681,-25.2
683,-25.2
683,-25.6
686,-25.6
686,-26.1
690,-26.1
690,-26.5
691,-26.5
691,-27.1
693,-27.1
693,-27.7
698,-27.7
698,-28.0
704,-28.0
704,-28.6
702,-28.6
702,-28.9
708,-28.9
708,-29.5
701,-29.5
701,-29.9
713,-29.9
713,-30.5
720,-30.5
720,-31.0
725,-31.0
725,-31.5
730,-31.5
730,-31.9
735,-31.9
735,-32.6
739,-32.6
739,-33.2
744,-33.2
744,-33.7
748,-33.7
748,-34.3
755,-34.3
755,-34.8
758,-34.8
758,-35.4
763,-35.4
763,-35.8
768,-35.8
768,-36.5
773,-36.5
773,-36.9
778,-36.9
778,-37.6
785,-37.6
785,-38.0
790,-38.0
790,-38.6
796,-38.6
796,-39.0
800,-39.0
800,-39.7
807,-39.7
807,-40.1
815,-40.1
815,-40.7
821,-40.7
821,-41.1
826,-41.1
826,-41.6
834,-41.6
834,-42.3
840,-42.3
840,-42.7
845,-42.7
845,-43.3
853,-43.3
853,-43.7
860,-43.7
860,-44.2
864,-44.2
864,-44.8
873,-44.8
873,-45.1
878,-45.1
878,-45.7
890,-45.7
890,-46.0
897,-46.0
897,-46.6
902,-46.6
902,-47.1
905,-47.1
905,-47.5
911,-47.5
911,-48.0
913,-48.0
913,-48.6
918,-48.6
918,-48.9
921,-48.9
921,-49.5
921,-49.5
921,-49.9
921,-49.9
921,-50.4
922,-50.4
922,-50.8
921,-50.8
921,-51.4
919,-51.4
919,-51.8
916,-51.8
916,-52.3
913,-52.3
913,-52.7
902,-52.7
902,-53.3
894,-53.3
894,-54.0
887,-54.0
887,-54.4
878,-54.4
878,-55.0
871,-55.0
871,-55.5
863,-55.5
863,-56.1
856,-56.1
856,-56.5
849,-56.5
849,-57.2
843,-57.2
843,-57.9
833,-57.9
833,-58.5
829,-58.5
829,-59.0
820,-59.0
820,-59.6
815,-59.6
815,-60.0
809,-60.0
809,-60.7
795,-60.7
795,-61.1
789,-61.1
789,-61.7
784,-61.7
784,-62.2
786,-62.2
786,-62.8
774,-62.8
774,-63.2
768,-63.2
768,-63.9
764,-63.9
764,-64.3
759,-64.3
759,-64.9
756,-64.9
756,-65.4
751,-65.4
751,-66.0
746,-66.0
746,-66.3
743,-66.3
743,-66.9
740,-66.9
740,-67.5
735,-67.5
735,-67.9
734,-67.9
734,-68.4
730,-68.4
730,-69.0
726,-69.0
726,-69.4
723,-69.4
723,-70.0
721,-70.0
721,-70.4
719,-70.4
719,-71.0
717,-71.0
717,-71.4
712,-71.4
712,-71.9
711,-71.9
711,-72.3
708,-72.3
708,-72.9
706,-72.9
706,-73.5
704,-73.5
704,-73.9
701,-73.9
701,-74.4
699,-74.4
699,-74.8
697,-74.8
697,-75.4
693,-75.4
693,-75.8
692,-75.8
692,-76.4
690,-76.4
690,-76.7
689,-76.7
689,-77.3
686,-77.3
686,-77.7
684,-77.7
684,-78.3
681,-78.3
681,-78.9
678,-78.9
678,-79.6
677,-79.6
677,-80.0
675,-80.0
675,-80.6
694,-80.6
694,-81.0
676,-81.0
676,-81.6
667,-81.6
667,-82.0
672,-82.0
672,-82.7
661,-82.7
661,-83.1
657,-83.1
657,-83.7
656,-83.7
656,-84.1
654,-84.1
654,-84.7
653,-84.7
653,-85.2
660,-85.2
660,-85.8
661,-85.8
661,-86.2
657,-86.2
657,-86.8
655,-86.8
655,-87.2
654,-87.2
654,-87.8
653,-87.8
653,-88.2
649,-88.2
649,-89.0
651,-89.0
651,-89.3
649,-89.3
649,-89.9
647,-89.9
647,-90.3
646,-90.3
646,-90.8
647,-90.8
647,-91.2
645,-91.2
645,-91.7
646,-91.7
646,-92.1
643,-92.1
643,-92.7
645,-92.7
645,-93.0
642,-93.0
642,-93.6
642,-93.6
642,-94.0
640,-94.0
640,-94.6
640,-94.6
640,-95.0
640,-95.0
640,-95.5
643,-95.5
643,-95.9
641,-95.9
641,-96.4
644,-96.4
644,-96.8
641,-96.8
641,-97.4
644,-97.4
644,-97.8
644,-97.8
644,-98.4
643,-98.4
643,-98.7
644,-98.7
644,-99.4
645,-99.4
645,-100.0
645,-100.0
645,-100.4
648,-100.4
648,-101.0
648,-101.0
648,-101.5
650,-101.5
650,-102.1
649,-102.1
649,-102.6
650,-102.6
650,-103.2
652,-103.2
652,-103.8
653,-103.8
653,-104.2
652,-104.2
652,-104.8
655,-104.8
655,-105.2
655,-105.2
655,-105.8
658,-105.8
658,-106.2
658,-106.2
658,-106.9
661,-106.9
661,-107.5
662,-107.5
662,-107.9
665,-107.9
665,-108.5
665,-108.5
665,-108.9
667,-108.9
667,-109.5
667,-109.5
667,-109.9
672,-109.9
672,-110.5
675,-110.5
675,-111.1
678,-111.1
678,-111.4
677,-111.4
677,-112.0
680,-112.0
680,-112.4
681,-112.4
681,-113.0
684,-113.0
684,-113.3
684,-113.3
684,-113.9
685,-113.9
685,-114.5
692,-114.5
692,-114.9
692,-114.9
692,-115.6
697,-115.6
697,-116.0
698,-116.0
698,-116.6
705,-116.6
705,-117.1
705,-117.1
705,-117.7
707,-117.7
707,-118.1
710,-118.1
710,-118.7
710,-118.7
710,-119.3
719,-119.3
719,-119.7
724,-119.7
724,-120.3
728,-120.3
728,-120.7
734,-120.7
734,-121.3
738,-121.3
738,-121.7
743,-121.7
743,-122.3
746,-122.3
746,-122.7
750,-122.7
750,-123.4
754,-123.4
754,-123.8
750,-123.8
750,-124.4
764,-124.4
764,-124.8
767,-124.8
767,-125.5
763,-125.5
763,-125.9
769,-125.9
769,-126.5
773,-126.5
773,-126.9
777,-126.9
777,-127.5
783,-127.5
783,-127.9
789,-127.9
789,-128.5
792,-128.5
792,-128.9
800,-128.9
800,-129.5
804,-129.5
804,-130.0
812,-130.0
812,-130.6
818,-130.6
818,-131.3
823,-131.3
823,-131.7
828,-131.7
828,-132.3
837,-132.3
837,-132.8
841,-132.8
841,-133.4
848,-133.4
848,-134.0
853,-134.0
853,-134.4
858,-134.4
858,-135.0
859,-135.0
859,-135.4
861,-135.4
861,-136.0
862,-136.0
862,-136.4
865,-136.4
865,-137.0
864,-137.0
864,-137.4
864,-137.4
864,-138.0
863,-138.0
863,-138.4
861,-138.4
861,-139.0
858,-139.0
858,-139.6
853,-139.6
853,-140.0
846,-140.0
846,-140.6
841,-140.6
841,-141.0
834,-141.0
834,-141.6
826,-141.6
826,-142.0
820,-142.0
820,-142.6
812,-142.6
812,-143.0
806,-143.0
806,-143.9
800,-143.9
792,-143.9
792,-144.5
786,-144.5
786,-144.8
781,-144.8
781,-145.2
773,-145.2
773,-145.8
767,-145.8
767,-146.3
762,-146.3
762,-146.9
758,-146.9
758,-147.3
754,-147.3
754,-147.8
748,-147.8
748,-148.2
743,-148.2
743,-148.7
736,-148.7
736,-149.1
736,-149.6
731,-149.6
731,-150.0
726,-150.0
726,-150.5
722,-150.5
722,-150.9
718,-150.9
718,-151.5
715,-151.5
715,-151.9
711,-151.9
711,-152.5
707,-152.5
707,-152.9
704,-152.9
699,-152.9
699,-153.6
699,-154.0
697,-154.0
697,-154.7
690,-154.7
690,-155.3
690,-155.8
687,-155.8
687,-156.4
683,-156.4
683,-156.9
680,-156.9
680,-157.5
677,-157.5
677,-158.0
674,-158.0
674,-158.7
672,-158.7
672,-159.1
666,-159.1
666,-159.8
666,-160.5
663,-160.5
663,-160.9
661,-160.9
661,-161.6
675,-161.6
675,-162.0
675,-162.7
658,-162.7
658,-163.1
652,-163.1
652,-163.7
645,-163.7
645,-164.3
638,-164.3
638,-164.6
638,-164.6
638,-165.2
632,-165.2
632,-165.5
630,-165.5
630,-166.1
628,-166.1
628,-166.4
626,-166.4
626,-166.9
624,-166.9
624,-167.3
624,-167.3
624,-167.8
620,-167.8
620,-168.2
618,-168.2
618,-168.7
616,-168.7
616,-169.1
613,-169.1
613,-169.7
610,-169.7
610,-170.0
609,-170.0
609,-170.6
609,-170.6
609,-170.9
608,-170.9
608,-171.4
605,-171.4
605,-171.8
605,-171.8
605,-172.3
602,-172.3
602,-172.7
601,-172.7
601,-173.4
600,-173.4
600,-173.8
599,-173.8
599,-174.4
597,-174.4
597,-174.8
597,-174.8
597,-175.4
595,-175.4
595,-175.8
594,-175.8
594,-176.4
593,-176.4
593,-177.1
593,-177.1
593,-177.5
591,-177.5
591,-178.1
592,-178.1
592,-178.5
588,-178.5
588,-179.1
589,-179.1
589,-179.5
587,-179.5
587,-180.1
586,-180.1
586,-180.0
586,-180.0
